dataset,horizon,staleness,n,rmse_persistence,rmse_model,skill
D1 ZephIR (contiguous),1,clean,2145,0.4445,0.4389,1.25
D1 ZephIR (contiguous),10,clean,2143,0.6683,0.7166,-7.23
D2 WFIP3 Buoy (few long gaps),1,clean,5450,0.4565,0.4809,-5.35
D2 WFIP3 Buoy (few long gaps),3,clean,5449,0.8458,0.9473,-12.01
D3 Onshore (many short gaps),1,clean,9591,0.6541,0.6253,4.4
D3 Onshore (many short gaps),1,1-3,76,2.0712,2.0332,1.84
D3 Onshore (many short gaps),1,4-12,66,1.829,1.701,7.0
D3 Onshore (many short gaps),1,13-72,50,1.4002,1.2993,7.2
D3 Onshore (many short gaps),3,clean,9249,0.9651,0.9162,5.06
D3 Onshore (many short gaps),3,1-3,200,2.1042,1.9777,6.01
D3 Onshore (many short gaps),3,4-12,175,1.7606,1.5302,13.08
D3 Onshore (many short gaps),3,13-72,156,1.8055,1.6006,11.35
