dataset,horizon_steps,horizon_time,model,rmse,mae,skill_pct,dm_p_vs_persistence,n_test
ZephIR300_offshore_1min,1,0 days 00:01:00,Persistence,0.4399,0.3354,0.0,,2084
ZephIR300_offshore_1min,1,0 days 00:01:00,ARIMA,0.3325,0.2571,15.6,,2084
ZephIR300_offshore_1min,1,0 days 00:01:00,XGBoost,0.4354,0.3411,1.0,0.559,2084
ZephIR300_offshore_1min,1,0 days 00:01:00,LSTM,0.711,0.5897,-61.6,,2084
ZephIR300_offshore_1min,1,0 days 00:01:00,GRU,1.2317,1.0516,-180.0,,2084
ZephIR300_offshore_1min,10,0 days 00:10:00,Persistence,0.664,0.5139,0.0,,2073
ZephIR300_offshore_1min,10,0 days 00:10:00,ARIMA,0.6446,0.5176,2.1,,2073
ZephIR300_offshore_1min,10,0 days 00:10:00,XGBoost,0.7163,0.563,-7.9,0.02,2073
ZephIR300_offshore_1min,10,0 days 00:10:00,LSTM,0.7719,0.6197,-16.2,,2073
ZephIR300_offshore_1min,10,0 days 00:10:00,GRU,1.0815,0.8837,-62.9,,2073
ZephIR300_offshore_1min,30,0 days 00:30:00,Persistence,0.8843,0.7017,0.0,,2048
ZephIR300_offshore_1min,30,0 days 00:30:00,ARIMA,0.9537,0.7569,-4.7,,2048
ZephIR300_offshore_1min,30,0 days 00:30:00,XGBoost,1.0266,0.8138,-16.1,0.0006,2048
ZephIR300_offshore_1min,30,0 days 00:30:00,LSTM,1.0367,0.822,-17.2,,2048
ZephIR300_offshore_1min,30,0 days 00:30:00,GRU,0.9406,0.7542,-6.4,,2048
ZephIR300_offshore_1min,60,0 days 01:00:00,Persistence,1.058,0.847,0.0,,2010
ZephIR300_offshore_1min,60,0 days 01:00:00,ARIMA,1.0694,0.8649,-1.0,,2010
ZephIR300_offshore_1min,60,0 days 01:00:00,XGBoost,1.2672,1.0239,-19.8,0.0013,2010
ZephIR300_offshore_1min,60,0 days 01:00:00,LSTM,1.1621,0.9543,-9.8,,2010
ZephIR300_offshore_1min,60,0 days 01:00:00,GRU,1.3476,1.0689,-27.4,,2010
WFIP3_Buoy130_offshore_10min,1,0 days 00:10:00,Persistence,0.4572,0.3241,0.0,,5136
WFIP3_Buoy130_offshore_10min,1,0 days 00:10:00,ARIMA,0.5023,0.3505,1.7,,5136
WFIP3_Buoy130_offshore_10min,1,0 days 00:10:00,XGBoost,0.4655,0.3329,-1.8,0.0159,5136
WFIP3_Buoy130_offshore_10min,1,0 days 00:10:00,LSTM,0.8837,0.7142,-93.3,,5136
WFIP3_Buoy130_offshore_10min,1,0 days 00:10:00,GRU,0.4995,0.3663,-9.2,,5136
WFIP3_Buoy130_offshore_10min,3,0 days 00:30:00,Persistence,0.8446,0.6002,0.0,,5125
WFIP3_Buoy130_offshore_10min,3,0 days 00:30:00,ARIMA,0.8734,0.603,1.8,,5125
WFIP3_Buoy130_offshore_10min,3,0 days 00:30:00,XGBoost,0.8699,0.6329,-3.0,0.0417,5125
WFIP3_Buoy130_offshore_10min,3,0 days 00:30:00,LSTM,0.9238,0.6853,-9.4,,5125
WFIP3_Buoy130_offshore_10min,3,0 days 00:30:00,GRU,0.8981,0.6604,-6.3,,5125
WFIP3_Buoy130_offshore_10min,6,0 days 01:00:00,Persistence,1.2191,0.8534,0.0,,5109
WFIP3_Buoy130_offshore_10min,6,0 days 01:00:00,ARIMA,1.3802,0.9232,-0.3,,5109
WFIP3_Buoy130_offshore_10min,6,0 days 01:00:00,XGBoost,1.2501,0.8996,-2.5,0.2412,5109
WFIP3_Buoy130_offshore_10min,6,0 days 01:00:00,LSTM,1.2319,0.8718,-1.1,,5109
WFIP3_Buoy130_offshore_10min,6,0 days 01:00:00,GRU,1.2365,0.8966,-1.4,,5109
Onshore_turbine_10min,1,0 days 00:10:00,Persistence,0.5797,0.4259,0.0,,3394
Onshore_turbine_10min,1,0 days 00:10:00,ARIMA,0.5562,0.425,-0.9,,3394
Onshore_turbine_10min,1,0 days 00:10:00,XGBoost,0.5729,0.4258,1.2,0.2052,3394
Onshore_turbine_10min,1,0 days 00:10:00,LSTM,0.6679,0.501,-15.2,,3394
Onshore_turbine_10min,1,0 days 00:10:00,GRU,0.5751,0.4269,0.8,,3394
Onshore_turbine_10min,3,0 days 00:30:00,Persistence,0.8586,0.6476,0.0,,3287
Onshore_turbine_10min,3,0 days 00:30:00,ARIMA,0.9024,0.6537,3.5,,3287
Onshore_turbine_10min,3,0 days 00:30:00,XGBoost,0.8632,0.6496,-0.5,0.7263,3287
Onshore_turbine_10min,3,0 days 00:30:00,LSTM,0.9956,0.7552,-16.0,,3287
Onshore_turbine_10min,3,0 days 00:30:00,GRU,0.8395,0.6319,2.2,,3287
Onshore_turbine_10min,6,0 days 01:00:00,Persistence,1.1041,0.8334,0.0,,3133
Onshore_turbine_10min,6,0 days 01:00:00,ARIMA,1.2706,0.9953,-3.7,,3133
Onshore_turbine_10min,6,0 days 01:00:00,XGBoost,1.1041,0.8458,0.0,0.9983,3133
Onshore_turbine_10min,6,0 days 01:00:00,LSTM,1.1087,0.8379,-0.4,,3133
Onshore_turbine_10min,6,0 days 01:00:00,GRU,1.0779,0.8131,2.4,,3133
