record,record_len,record_days,missing_frac,condition,horizon,seed,n_gaps_requested,n_gaps_placed,gap_len,actual_missing_pct,skill_honest,skill_naive,bias,n_test
HKZA,7166,49.8,0.05,MANY-SHORT,1,0,119,119,3,4.98,-15.024,-6.805,8.219,563
HKZA,7166,49.8,0.05,MANY-SHORT,1,1,119,119,3,4.98,-14.954,-7.296,7.657,571
HKZA,7166,49.8,0.05,MANY-SHORT,1,2,119,119,3,4.98,-24.659,-5.7,18.959,563
HKZA,7166,49.8,0.05,MANY-SHORT,1,3,119,119,3,4.98,-24.235,-7.268,16.968,546
HKZA,7166,49.8,0.05,MANY-SHORT,1,4,119,119,3,4.98,-21.185,-7.649,13.536,591
HKZA,7166,49.8,0.05,MANY-SHORT,1,5,119,119,3,4.98,-6.378,-7.147,-0.769,585
HKZA,7166,49.8,0.05,MANY-SHORT,1,6,119,119,3,4.98,-25.531,-6.041,19.491,562
HKZA,7166,49.8,0.05,MANY-SHORT,1,7,119,119,3,4.98,-19.362,-7.146,12.217,520
HKZA,7166,49.8,0.05,MANY-SHORT,1,8,119,119,3,4.98,-15.602,-6.872,8.73,623
HKZA,7166,49.8,0.05,MANY-SHORT,1,9,119,119,3,4.98,-34.084,-8.061,26.023,578
HKZA,7166,49.8,0.05,MANY-SHORT,1,10,119,119,3,4.98,-27.409,-7.903,19.506,600
HKZA,7166,49.8,0.05,MANY-SHORT,1,11,119,119,3,4.98,-26.953,-6.987,19.966,612
HKZA,7166,49.8,0.05,MANY-SHORT,1,12,119,119,3,4.98,-137.832,-7.93,129.901,567
HKZA,7166,49.8,0.05,MANY-SHORT,1,13,119,119,3,4.98,-154.594,-7.362,147.232,586
HKZA,7166,49.8,0.05,MANY-SHORT,1,14,119,119,3,4.98,-73.343,-5.086,68.257,570
HKZA,7166,49.8,0.05,MANY-SHORT,3,0,119,119,3,4.98,-19.366,-8.39,10.976,542
HKZA,7166,49.8,0.05,MANY-SHORT,3,1,119,119,3,4.98,-19.282,-8.995,10.287,547
HKZA,7166,49.8,0.05,MANY-SHORT,3,2,119,119,3,4.98,-15.53,-7.322,8.208,541
HKZA,7166,49.8,0.05,MANY-SHORT,3,3,119,119,3,4.98,-25.001,-7.892,17.11,524
HKZA,7166,49.8,0.05,MANY-SHORT,3,4,119,119,3,4.98,-23.432,-7.121,16.311,568
HKZA,7166,49.8,0.05,MANY-SHORT,3,5,119,119,3,4.98,-12.496,-10.489,2.008,566
HKZA,7166,49.8,0.05,MANY-SHORT,3,6,119,119,3,4.98,-25.223,-6.507,18.716,542
HKZA,7166,49.8,0.05,MANY-SHORT,3,7,119,119,3,4.98,-31.244,-8.507,22.737,498
HKZA,7166,49.8,0.05,MANY-SHORT,3,8,119,119,3,4.98,-14.795,-7.411,7.384,603
HKZA,7166,49.8,0.05,MANY-SHORT,3,9,119,119,3,4.98,-21.877,-8.226,13.65,555
HKZA,7166,49.8,0.05,MANY-SHORT,3,10,119,119,3,4.98,-58.213,-9.735,48.478,580
HKZA,7166,49.8,0.05,MANY-SHORT,3,11,119,119,3,4.98,-39.204,-9.071,30.133,590
HKZA,7166,49.8,0.05,MANY-SHORT,3,12,119,119,3,4.98,-77.618,-7.954,69.664,547
HKZA,7166,49.8,0.05,MANY-SHORT,3,13,119,119,3,4.98,-127.944,-9.034,118.91,565
HKZA,7166,49.8,0.05,MANY-SHORT,3,14,119,119,3,4.98,-44.475,-6.042,38.433,548
HKZA,7166,49.8,0.05,MEDIUM,1,0,19,19,18,4.77,-9.439,-6.754,2.685,1407
HKZA,7166,49.8,0.05,MEDIUM,1,1,19,19,18,4.77,-10.059,-7.451,2.609,1414
HKZA,7166,49.8,0.05,MEDIUM,1,2,19,19,18,4.77,-8.661,-6.763,1.898,1388
HKZA,7166,49.8,0.05,MEDIUM,1,3,19,19,18,4.77,-7.619,-6.943,0.676,1405
HKZA,7166,49.8,0.05,MEDIUM,1,4,19,19,18,4.77,-9.308,-7.007,2.301,1401
HKZA,7166,49.8,0.05,MEDIUM,1,5,19,19,18,4.77,-9.935,-8.114,1.821,1435
HKZA,7166,49.8,0.05,MEDIUM,1,6,19,19,18,4.77,-9.202,-7.504,1.698,1421
HKZA,7166,49.8,0.05,MEDIUM,1,7,19,19,18,4.77,-11.389,-7.565,3.824,1388
HKZA,7166,49.8,0.05,MEDIUM,1,8,19,19,18,4.77,-6.786,-6.388,0.398,1415
HKZA,7166,49.8,0.05,MEDIUM,1,9,19,19,18,4.77,-12.434,-8.441,3.993,1423
HKZA,7166,49.8,0.05,MEDIUM,1,10,19,19,18,4.77,-11.37,-7.346,4.025,1430
HKZA,7166,49.8,0.05,MEDIUM,1,11,19,19,18,4.77,-9.193,-7.124,2.07,1411
HKZA,7166,49.8,0.05,MEDIUM,1,12,19,19,18,4.77,-7.814,-6.981,0.833,1414
HKZA,7166,49.8,0.05,MEDIUM,1,13,19,19,18,4.77,-75.724,-8.149,67.574,1422
HKZA,7166,49.8,0.05,MEDIUM,1,14,19,19,18,4.77,-9.478,-7.78,1.698,1403
HKZA,7166,49.8,0.05,MEDIUM,3,0,19,19,18,4.77,-10.258,-8.298,1.96,1396
HKZA,7166,49.8,0.05,MEDIUM,3,1,19,19,18,4.77,-11.447,-8.237,3.21,1403
HKZA,7166,49.8,0.05,MEDIUM,3,2,19,19,18,4.77,-10.026,-9.478,0.548,1376
HKZA,7166,49.8,0.05,MEDIUM,3,3,19,19,18,4.77,-6.733,-9.545,-2.812,1394
HKZA,7166,49.8,0.05,MEDIUM,3,4,19,19,18,4.77,-12.145,-6.473,5.671,1390
HKZA,7166,49.8,0.05,MEDIUM,3,5,19,19,18,4.77,-8.585,-7.677,0.908,1425
HKZA,7166,49.8,0.05,MEDIUM,3,6,19,19,18,4.77,-9.787,-13.305,-3.519,1410
HKZA,7166,49.8,0.05,MEDIUM,3,7,19,19,18,4.77,-16.362,-5.767,10.594,1376
HKZA,7166,49.8,0.05,MEDIUM,3,8,19,19,18,4.77,-6.969,-7.407,-0.438,1404
HKZA,7166,49.8,0.05,MEDIUM,3,9,19,19,18,4.77,-9.872,-7.298,2.574,1413
HKZA,7166,49.8,0.05,MEDIUM,3,10,19,19,18,4.77,-12.844,-12.176,0.668,1420
HKZA,7166,49.8,0.05,MEDIUM,3,11,19,19,18,4.77,-11.461,-9.263,2.199,1401
HKZA,7166,49.8,0.05,MEDIUM,3,12,19,19,18,4.77,-9.444,-8.469,0.976,1404
HKZA,7166,49.8,0.05,MEDIUM,3,13,19,19,18,4.77,-50.659,-8.069,42.589,1413
HKZA,7166,49.8,0.05,MEDIUM,3,14,19,19,18,4.77,-9.952,-7.351,2.601,1392
HKZA,7166,49.8,0.05,FEW-LONG,1,0,2,2,144,4.02,-8.285,-7.024,1.262,1661
HKZA,7166,49.8,0.05,FEW-LONG,1,1,2,2,144,4.02,-6.748,-10.231,-3.483,1661
HKZA,7166,49.8,0.05,FEW-LONG,1,2,2,2,144,4.02,-8.868,-7.354,1.514,1661
HKZA,7166,49.8,0.05,FEW-LONG,1,3,2,2,144,4.02,-8.169,-8.677,-0.508,1661
