missing_frac,condition,horizon,seed,n_gaps,gap_len,actual_missing_pct,skill_honest,skill_naive,bias,n_test
0.05,MANY-SHORT,1,0,102,3,5.0,-25.291,-9.795,15.496,486
0.05,MANY-SHORT,1,1,102,3,5.0,-22.275,-10.713,11.562,460
0.05,MANY-SHORT,1,2,102,3,5.0,-34.629,-13.839,20.79,484
0.05,MANY-SHORT,1,3,102,3,5.0,-20.225,-13.374,6.851,467
0.05,MANY-SHORT,1,4,102,3,5.0,-25.504,-10.188,15.316,489
0.05,MANY-SHORT,1,5,102,3,5.0,-45.453,-9.251,36.202,506
0.05,MANY-SHORT,1,6,102,3,5.0,-130.29,-13.667,116.623,504
0.05,MANY-SHORT,1,7,102,3,5.0,-12.716,-8.975,3.741,470
0.05,MANY-SHORT,1,8,102,3,5.0,-20.794,-8.883,11.912,533
0.05,MANY-SHORT,1,9,102,3,5.0,-19.631,-11.1,8.531,465
0.05,MANY-SHORT,1,10,102,3,5.0,-27.743,-19.222,8.522,518
0.05,MANY-SHORT,1,11,102,3,5.0,-9.907,-12.535,-2.629,498
0.05,MANY-SHORT,1,12,102,3,5.0,-84.574,-6.401,78.173,491
0.05,MANY-SHORT,1,13,102,3,5.0,-141.939,-5.492,136.446,496
0.05,MANY-SHORT,1,14,102,3,5.0,-178.679,-9.877,168.802,494
0.05,MANY-SHORT,1,15,102,3,5.0,-12.297,-10.156,2.141,518
0.05,MANY-SHORT,1,16,102,3,5.0,-27.366,-12.739,14.627,493
0.05,MANY-SHORT,1,17,102,3,5.0,-19.949,-5.366,14.583,457
0.05,MANY-SHORT,1,18,102,3,5.0,-42.706,-10.058,32.648,518
0.05,MANY-SHORT,1,19,102,3,5.0,-19.26,-7.666,11.595,565
0.05,MANY-SHORT,1,20,102,3,5.0,-12.783,-8.507,4.276,571
0.05,MANY-SHORT,1,21,102,3,5.0,-20.452,-9.566,10.886,500
0.05,MANY-SHORT,1,22,102,3,5.0,-23.049,-10.387,12.662,470
0.05,MANY-SHORT,1,23,102,3,5.0,-25.475,-12.204,13.271,448
0.05,MANY-SHORT,1,24,102,3,5.0,-19.055,-6.58,12.475,538
0.05,MANY-SHORT,1,25,102,3,5.0,-39.848,-9.259,30.589,532
0.05,MANY-SHORT,1,26,102,3,5.0,-15.081,-7.727,7.354,501
0.05,MANY-SHORT,1,27,102,3,5.0,-13.511,-8.807,4.704,544
0.05,MANY-SHORT,1,28,102,3,5.0,-18.231,-19.686,-1.455,514
0.05,MANY-SHORT,1,29,102,3,5.0,-34.125,-10.093,24.032,535
0.05,MANY-SHORT,3,0,102,3,5.0,-21.031,-14.973,6.058,467
0.05,MANY-SHORT,3,1,102,3,5.0,-35.228,-16.816,18.413,441
0.05,MANY-SHORT,3,2,102,3,5.0,-26.569,-11.459,15.11,466
0.05,MANY-SHORT,3,3,102,3,5.0,-25.805,-14.962,10.844,449
0.05,MANY-SHORT,3,4,102,3,5.0,-24.991,-15.99,9.001,469
0.05,MANY-SHORT,3,5,102,3,5.0,-51.819,-12.568,39.252,488
