dataset,horizon,model,skill_honest,skill_naive,bias,n_test_honest,n_test_naive
D1 ZephIR (contiguous),1,Ridge,9.6,9.69,0.09,2084,2145
D1 ZephIR (contiguous),1,RandomForest,3.31,3.51,0.2,2084,2145
D1 ZephIR (contiguous),1,XGBoost,1.02,1.25,0.23,2084,2145
D1 ZephIR (contiguous),1,LSTM,-22.17,-15.62,6.55,2084,2145
D1 ZephIR (contiguous),10,Ridge,9.52,9.73,0.21,2073,2143
D1 ZephIR (contiguous),10,RandomForest,-3.91,-3.22,0.69,2073,2143
D1 ZephIR (contiguous),10,XGBoost,-7.88,-7.23,0.65,2073,2143
D1 ZephIR (contiguous),10,LSTM,-9.75,-1.72,8.03,2073,2143
D1 ZephIR (contiguous),30,Ridge,8.72,8.76,0.04,2048,2138
D1 ZephIR (contiguous),30,RandomForest,-17.73,-16.65,1.08,2048,2138
D1 ZephIR (contiguous),30,XGBoost,-16.1,-14.99,1.11,2048,2138
D1 ZephIR (contiguous),30,LSTM,-19.14,-19.3,-0.16,2048,2138
D2 WFIP3 Buoy (few long gaps),1,Ridge,-0.45,-0.31,0.15,5136,5450
D2 WFIP3 Buoy (few long gaps),1,RandomForest,-2.93,-16.22,-13.29,5136,5450
D2 WFIP3 Buoy (few long gaps),1,XGBoost,-1.82,-5.35,-3.53,5136,5450
D2 WFIP3 Buoy (few long gaps),1,LSTM,-28.06,-65.92,-37.86,5136,5450
D2 WFIP3 Buoy (few long gaps),3,Ridge,-0.41,-0.29,0.12,5125,5449
D2 WFIP3 Buoy (few long gaps),3,RandomForest,-1.91,-15.66,-13.75,5125,5449
D2 WFIP3 Buoy (few long gaps),3,XGBoost,-2.99,-12.01,-9.02,5125,5449
D2 WFIP3 Buoy (few long gaps),3,LSTM,-12.93,-14.66,-1.72,5125,5449
D2 WFIP3 Buoy (few long gaps),6,Ridge,0.26,0.63,0.37,5109,5449
D2 WFIP3 Buoy (few long gaps),6,RandomForest,-0.33,-8.21,-7.87,5109,5449
D2 WFIP3 Buoy (few long gaps),6,XGBoost,-2.54,-6.62,-4.07,5109,5449
D2 WFIP3 Buoy (few long gaps),6,LSTM,-4.32,-3.21,1.11,5109,5449
D3 Onshore (many short gaps),1,Ridge,1.98,2.58,0.6,3394,9784
D3 Onshore (many short gaps),1,RandomForest,1.36,3.1,1.75,3394,9784
D3 Onshore (many short gaps),1,XGBoost,1.17,4.4,3.22,3394,9784
D3 Onshore (many short gaps),1,LSTM,-13.65,-15.98,-2.32,3394,9784
D3 Onshore (many short gaps),3,Ridge,2.89,5.57,2.68,3287,9783
D3 Onshore (many short gaps),3,RandomForest,1.65,5.74,4.09,3287,9783
D3 Onshore (many short gaps),3,XGBoost,-0.53,5.82,6.35,3287,9783
D3 Onshore (many short gaps),3,LSTM,-6.8,3.64,10.44,3287,9783
D3 Onshore (many short gaps),6,Ridge,5.12,8.78,3.65,3133,9783
D3 Onshore (many short gaps),6,RandomForest,2.62,8.9,6.28,3133,9783
D3 Onshore (many short gaps),6,XGBoost,0.0,8.74,8.73,3133,9783
D3 Onshore (many short gaps),6,LSTM,-1.51,7.78,9.3,3133,9783
