dataset,horizon,model,skill_A,skill_B,skill_D,skill_C,bias_feature,bias_training,bias_composition,bias_total,n_test_ABD,n_test_C,n_train_AB,n_train_CD,row_expansion
D1 ZephIR (contiguous),1,XGBoost,1.02,1.02,1.02,1.02,0.0,0.0,0.0,0.0,2084,2084,6433,6433,1.0
D1 ZephIR (contiguous),1,Ridge,9.6,9.6,9.6,9.6,0.0,0.0,0.0,0.0,2084,2084,6433,6433,1.0
D1 ZephIR (contiguous),10,XGBoost,-7.88,-7.88,-7.88,-7.88,0.0,0.0,0.0,0.0,2073,2073,6426,6426,1.0
D1 ZephIR (contiguous),10,Ridge,9.52,9.52,9.52,9.52,0.0,0.0,0.0,0.0,2073,2073,6426,6426,1.0
D1 ZephIR (contiguous),30,XGBoost,-16.1,-16.1,-16.1,-16.1,0.0,0.0,0.0,0.0,2048,2048,6411,6411,1.0
D1 ZephIR (contiguous),30,Ridge,8.72,8.72,8.72,8.72,0.0,0.0,0.0,0.0,2048,2048,6411,6411,1.0
D2 WFIP3 Buoy (few long gaps),1,XGBoost,-1.82,-1.82,-5.56,-5.56,0.0,-3.74,0.0,-3.74,5136,5136,15519,16348,1.0
D2 WFIP3 Buoy (few long gaps),1,Ridge,-0.45,-0.45,-0.31,-0.31,0.0,0.15,0.0,0.15,5136,5136,15519,16348,1.0
D2 WFIP3 Buoy (few long gaps),3,XGBoost,-2.99,-2.99,-12.46,-12.46,0.0,-9.47,0.0,-9.47,5125,5125,15492,16347,1.0
D2 WFIP3 Buoy (few long gaps),3,Ridge,-0.41,-0.41,-0.43,-0.43,-0.0,-0.02,0.0,-0.02,5125,5125,15492,16347,1.0
D2 WFIP3 Buoy (few long gaps),6,XGBoost,-2.54,-2.54,-6.79,-6.79,0.0,-4.25,0.0,-4.25,5109,5109,15451,16344,1.0
D2 WFIP3 Buoy (few long gaps),6,Ridge,0.26,0.26,0.49,0.49,-0.0,0.23,0.0,0.23,5109,5109,15451,16344,1.0
D3 Onshore (many short gaps),1,XGBoost,1.17,1.17,3.28,4.49,0.0,2.11,1.21,3.32,3394,7574,10291,29350,2.23
D3 Onshore (many short gaps),1,Ridge,1.98,1.98,1.69,2.57,-0.0,-0.29,0.88,0.59,3394,7574,10291,29350,2.23
D3 Onshore (many short gaps),3,XGBoost,-0.53,-0.53,2.94,5.9,0.0,3.47,2.96,6.42,3287,7545,9975,29349,2.3
D3 Onshore (many short gaps),3,Ridge,2.89,2.89,2.84,5.46,0.0,-0.05,2.62,2.57,3287,7545,9975,29349,2.3
D3 Onshore (many short gaps),6,XGBoost,0.0,-0.19,4.18,8.34,-0.19,4.37,4.16,8.33,3133,7077,9524,29346,2.26
D3 Onshore (many short gaps),6,Ridge,5.12,5.12,4.91,8.52,0.0,-0.22,3.61,3.39,3133,7077,9524,29346,2.26
