model,rmse_pers_honest,rmse_model_honest,rmse_pers_naive,rmse_model_naive,skill_honest,skill_naive,excess_honest,excess_naive,n_train_honest,n_test_honest,n_train_naive,n_test_naive,test_start,test_end,test_target_std,bias,rmse_bias,record,record_len,record_days,missing_frac,condition,horizon,replicate,origin,nominal_gap_len,n_gaps_placed,mean_gap_len,achieved_missing_pct,intact_rp,rp_h_over_intact
XGBoost,0.7033019210163322,2.6893038625242025,0.6303911138078682,1.223349107520397,-282.3825560774703,-94.06192135716745,1.9860019415078702,0.5929579937125289,1409,380,4038,1696,2024-08-17 22:40:00,2024-08-30 09:10:00,4.668167944479615,188.32063472030288,-1.3930439477953414,HKZA,7166,49.8,0.05,MANY-SHORT,1,0,0,3,119,3.0,4.996,0.5787,1.215
XGBoost,0.6115281753953171,1.041017662053245,0.6540635599666064,1.2007703589362602,-70.23216655230775,-83.58618832053052,0.42948948665792785,0.5467067989696538,1509,516,4367,1680,2024-08-20 10:20:00,2024-09-01 20:50:00,4.05939295529962,-13.354021768222779,0.11721731231172594,HKZA,7166,49.8,0.05,MANY-SHORT,1,1,1,3,119,3.0,4.996,0.5787,1.057
XGBoost,0.5951257762376653,0.8241440287692453,0.5966421199559027,0.7654447406535455,-38.48232788359698,-28.29210594621092,0.22901825253158004,0.16880262069764285,1863,612,4704,1699,2024-08-22 22:10:00,2024-09-04 08:40:00,3.9902267904139834,10.19022193738606,-0.06021563183393719,HKZA,7166,49.8,0.05,MANY-SHORT,1,2,2,3,119,3.0,4.996,0.5787,1.028
XGBoost,0.5003976421561976,0.6354087683979287,0.489718309066779,0.5269016676265674,-26.98076786692527,-7.592805470280672,0.13501112624173106,0.03718335855978844,1773,726,5026,1709,2024-08-25 09:50:00,2024-09-06 18:10:00,3.199867454789847,19.387962396644596,-0.09782776768194262,HKZA,7166,49.8,0.05,MANY-SHORT,1,3,3,3,119,3.0,4.996,0.5787,0.865
XGBoost,0.45256956514248775,0.5798703370029055,0.4698092762809045,0.5109192864956524,-28.128442932378395,-8.75036153823574,0.12730077186041772,0.041110010214747916,1602,549,5378,1357,2024-08-27 21:30:00,2024-09-06 18:10:00,3.3800177562543143,19.378081394142654,-0.0861907616456698,HKZA,7166,49.8,0.05,MANY-SHORT,1,4,4,3,119,3.0,4.996,0.5787,0.782
XGBoost,0.5906681163929783,1.8496428112010876,0.6455069842728318,1.2124957444840454,-213.14417688502743,-87.83619294993848,1.2589746948081093,0.5669887602112136,1398,607,4011,1702,2024-08-17 22:40:00,2024-08-30 09:10:00,4.955373332668,125.30798393508896,-0.6919859345968957,HKZA,7166,49.8,0.05,MANY-SHORT,1,5,0,3,119,3.0,4.996,0.5787,1.021
XGBoost,0.7295462685626825,1.6494005674820715,0.6629929937009962,1.1839192798140363,-126.08580683054447,-78.57191419250098,0.9198542989193891,0.5209262861130401,1411,533,4378,1681,2024-08-20 10:20:00,2024-09-01 20:50:00,4.360260356774598,47.51389263804349,-0.39892801280634893,HKZA,7166,49.8,0.05,MANY-SHORT,1,6,1,3,119,3.0,4.996,0.5787,1.261
XGBoost,0.5037298994081938,0.5709123389354561,0.6272106768818011,0.783322121907218,-13.336996594046035,-24.88979393678854,0.06718243952726233,0.15611144502541685,1701,398,4725,1681,2024-08-22 22:10:00,2024-09-04 08:40:00,3.6896744151025556,-11.552797342742505,0.08892900549815452,HKZA,7166,49.8,0.05,MANY-SHORT,1,7,2,3,119,3.0,4.996,0.5787,0.87
XGBoost,0.48433876830547035,0.632301799843045,0.4885590254158917,0.5327203854911011,-30.549491640994365,-9.03910434110118,0.14796303153757467,0.04416136007520943,1928,612,5032,1703,2024-08-25 09:50:00,2024-09-06 18:10:00,3.406527315903366,21.510387299893186,-0.10380167146236524,HKZA,7166,49.8,0.05,MANY-SHORT,1,8,3,3,119,3.0,4.996,0.5787,0.837
XGBoost,0.4600291983603339,0.5407556704519799,0.4662856492285056,0.5018281351953937,-17.548119201862967,-7.622470480422261,0.08072647209164602,0.03554248596688808,1765,622,5372,1363,2024-08-27 21:30:00,2024-09-06 18:10:00,3.1358153745587005,9.925648721440705,-0.045183986124757936,HKZA,7166,49.8,0.05,MANY-SHORT,1,9,4,3,119,3.0,4.996,0.5787,0.795
