record,horizon,d,n,rmse_pers,rmse_model,rmse_pers_far,rmse_model_far,pers_inflation,model_inflation,frac_displaced,median_gap_before
BSB,1,1,136,1.012765905533833,1.0080759525146576,0.6773739075447672,0.672903484267234,1.4951356913122607,1.4980988746289723,0.10294117647058823,1.0
BSB,1,2,122,0.8430592612816652,0.833634910056154,0.6773739075447672,0.672903484267234,1.2445995511363093,1.2388625256769925,0.05737704918032787,1.0
BSB,1,3,115,0.6206190317809274,0.6256390293424112,0.6773739075447672,0.672903484267234,0.9162133717704665,0.9297604247416077,0.06086956521739131,1.0
BSB,1,4,108,0.6969576346123517,0.7055090334567123,0.6773739075447672,0.672903484267234,1.028911251008425,1.0484550161379897,0.037037037037037035,1.0
BSB,1,5,104,0.6412773985749668,0.6269013988913644,0.6773739075447672,0.672903484267234,0.9467111021435162,0.931636428623989,0.07692307692307693,1.0
BSB,1,6,96,0.622623916715915,0.6145954280793022,0.6773739075447672,0.672903484267234,0.9191731623863385,0.9133485595613656,0.010416666666666666,1.0
BSB,1,7,95,0.7278226070742934,0.74248689382554,0.6773739075447672,0.672903484267234,1.0744768863512684,1.103407711782143,0.042105263157894736,1.0
BSB,1,8,91,0.5746047853443785,0.5967813194952885,0.6773739075447672,0.672903484267234,0.8482830220418599,0.8868750622463493,0.06593406593406594,1.0
BSB,1,9,85,0.8381234992529444,0.825321715374616,0.6773739075447672,0.672903484267234,1.2373129373861411,1.2265083101380572,0.07058823529411765,1.0
BSB,1,10,80,0.7786916751834452,0.7832475648388376,0.6773739075447672,0.672903484267234,1.1495743584306604,1.1639820318240202,0.025,1.0
BSB,1,11,78,0.7308623375234603,0.7625199320829751,0.6773739075447672,0.672903484267234,1.0789644085532746,1.1331787543251168,0.02564102564102564,1.0
BSB,1,12,76,0.619110663094971,0.6024986835606524,0.6773739075447672,0.672903484267234,0.9139865828889406,0.8953716211125735,0.02631578947368421,1.0
BSB,3,1,136,1.700449015096065,1.7062446658753039,1.0732357042810092,1.0585779212698947,1.5844133849751518,1.6118271802121595,0.20588235294117646,1.0
BSB,3,2,122,1.5247128834797652,1.5459972564073958,1.0732357042810092,1.0585779212698947,1.42066917583702,1.460447290033011,0.14754098360655737,1.0
BSB,3,3,115,1.0528608603725127,1.056786613888412,1.0732357042810092,1.0585779212698947,0.9810154993658674,0.9983078171710461,0.16521739130434782,1.0
BSB,3,4,108,0.9779044251944127,0.96026465583868,1.0732357042810092,1.0585779212698947,0.9111739586128831,0.9071270395350058,0.12037037037037036,1.0
BSB,3,5,104,1.1049990906713976,1.1123972688756765,1.0732357042810092,1.0585779212698947,1.029595909140637,1.0508411771343378,0.125,1.0
BSB,3,6,96,1.318787937842927,1.3231464878934671,1.0732357042810092,1.0585779212698947,1.2287961838973855,1.2499282870987805,0.11458333333333333,1.0
BSB,3,7,95,1.1325637242441082,1.1835056278655371,1.0732357042810092,1.0585779212698947,1.0552795809219229,1.1180146535134383,0.16842105263157894,1.0
BSB,3,8,91,1.2502878833327913,1.2489305144892289,1.0732357042810092,1.0585779212698947,1.1649704518266975,1.1798191605876143,0.15384615384615385,1.0
BSB,3,9,85,1.569220357187532,1.5895939875222753,1.0732357042810092,1.0585779212698947,1.4621395383400861,1.5016315337612194,0.11764705882352941,1.0
BSB,3,10,80,1.4478694822048015,1.4841069417463422,1.0732357042810092,1.0585779212698947,1.3490694322127217,1.4019817643333927,0.075,1.0
BSB,3,11,78,1.1533206183529143,1.1781706848577362,1.0732357042810092,1.0585779212698947,1.0746200613271213,1.1129749271970222,0.10256410256410256,1.0
BSB,3,12,76,0.9952680873962925,0.9737408497631355,1.0732357042810092,1.0585779212698947,0.9273527552487182,0.9198575090202271,0.13157894736842105,1.0
BSB,6,1,136,2.0922459523201375,2.096934786145941,1.4185568630271874,1.3941297993307822,1.4749115857472952,1.5041173262005612,0.3014705882352941,1.0
BSB,6,2,122,1.9225484410533642,1.9454152270722198,1.4185568630271874,1.3941297993307822,1.355284720099738,1.3954333577878248,0.2540983606557377,1.0
BSB,6,3,115,1.4411419536030385,1.4754670547869997,1.4185568630271874,1.3941297993307822,1.0159211739511482,1.0583426704566974,0.2608695652173913,1.0
BSB,6,4,108,1.6120653562938951,1.6255438517938379,1.4185568630271874,1.3941297993307822,1.1364122216812391,1.1659917552685126,0.26851851851851855,1.0
BSB,6,5,104,1.669394587406326,1.6832439540644288,1.4185568630271874,1.3941297993307822,1.1768259919055013,1.2073796535103323,0.25961538461538464,1.0
BSB,6,6,96,2.0850071817422275,2.1274366379523917,1.4185568630271874,1.3941297993307822,1.4698086739313652,1.5259961009180174,0.21875,1.0
BSB,6,7,95,2.0086316787934595,2.0940286398882595,1.4185568630271874,1.3941297993307822,1.4159683909371512,1.5020327668868756,0.23157894736842105,1.0
BSB,6,8,91,2.049936096564964,2.0500525411207486,1.4185568630271874,1.3941297993307822,1.4450856007212984,1.4704890047575385,0.23076923076923078,1.0
BSB,6,9,86,1.9332695164554308,1.9423151953506665,1.4185568630271874,1.3941297993307822,1.36284245407678,1.3932097257249845,0.23255813953488372,1.0
BSB,6,10,80,1.6417596581107725,1.6649919629805372,1.4185568630271874,1.3941297993307822,1.1573449756587637,1.1942876221279939,0.1875,1.0
BSB,6,11,78,1.4652732220936189,1.4935482320489764,1.4185568630271874,1.3941297993307822,1.032932313313644,1.0713121782246657,0.21794871794871795,1.0
BSB,6,12,76,1.4843955619074474,1.473991744594551,1.4185568630271874,1.3941297993307822,1.0464124495790468,1.057284440302549,0.21052631578947367,1.0
D2_BUOY,1,1,23,0.38189338953723423,0.6602710169124972,0.6139971088204836,0.6132208721051879,0.6219791332093872,1.0767262612014266,0.0,3.0
D2_BUOY,1,2,23,0.5144321860223329,0.6801863096976456,0.6139971088204836,0.6132208721051879,0.8378413817136379,1.1092028021853941,0.0,3.0
D2_BUOY,1,3,23,0.7743557372127904,0.6900146141278816,0.6139971088204836,0.6132208721051879,1.2611716343426485,1.125230150368269,0.0,3.0
D2_BUOY,1,4,23,0.570551476470311,0.6346043063484512,0.6139971088204836,0.6132208721051879,0.9292413079376975,1.0348706888756964,0.08695652173913043,3.0
D2_BUOY,1,5,21,0.8245757545835865,0.8631712297518138,0.6139971088204836,0.6132208721051879,1.3429635787172256,1.4076024953106145,0.0,5.0
D2_BUOY,1,6,21,0.9357532995161378,0.9150041758358408,0.6139971088204836,0.6132208721051879,1.524035351426593,1.4921282321892118,0.09523809523809523,5.0
D2_BUOY,1,7,19,0.5321134129210864,0.6144985596195804,0.6139971088204836,0.6132208721051879,0.8666383037915283,1.0020835682092917,0.0,8.0
D2_BUOY,1,8,19,0.5432892996902244,0.5799986323426206,0.6139971088204836,0.6132208721051879,0.8848401594820339,0.9458233708704087,0.0,8.0
D2_BUOY,1,9,19,0.666083091070871,0.7400546827086236,0.6139971088204836,0.6132208721051879,1.0848309894332353,1.2068321813117924,0.0,8.0
D2_BUOY,1,10,19,0.8432381507897804,0.9205030458801402,0.6139971088204836,0.6132208721051879,1.3733585039344554,1.5010954254052904,0.0,8.0
D2_BUOY,1,11,19,0.6082765234228331,0.5984979884566017,0.6139971088204836,0.6132208721051879,0.9906830418002456,0.9759908960729883,0.0,8.0
D2_BUOY,1,12,19,0.9232730715275674,0.8760737586912896,0.6139971088204836,0.6132208721051879,1.503709151499454,1.4286430852944183,0.0,8.0
D2_BUOY,3,1,23,0.8509011993691281,0.8750331014478643,1.0579631874875557,1.0529901298067588,0.8042824263005246,0.8309983889482871,0.0,3.0
D2_BUOY,3,2,23,1.391404586552853,1.2235579583868854,1.0579631874875557,1.0529901298067588,1.3151729691627096,1.1619842615347484,0.08695652173913043,3.0
D2_BUOY,3,3,23,1.6895469533205265,1.5988198043715394,1.0579631874875557,1.0529901298067588,1.5969808527391696,1.5183616247808034,0.08695652173913043,3.0
D2_BUOY,3,4,23,0.8097587673403162,0.9874431435031814,1.0579631874875557,1.0529901298067588,0.7653940864079838,0.9377515662795374,0.17391304347826086,3.0
D2_BUOY,3,5,21,1.0823435626295095,1.2190205159871772,1.0579631874875557,1.0529901298067588,1.023044634662433,1.1576751590358096,0.09523809523809523,5.0
