dataset,horizon,model,skill_honest,skill_naive,bias,n_test_honest,n_test_naive,n_test_naive_unaligned
D1 ZephIR (contiguous),1,Ridge,9.6,9.6,0.0,2084,2084,2145
D1 ZephIR (contiguous),1,RandomForest,3.31,3.31,0.0,2084,2084,2145
D1 ZephIR (contiguous),1,XGBoost,1.02,1.02,0.0,2084,2084,2145
D1 ZephIR (contiguous),1,LSTM,-93.66,-56.71,36.95,2084,2084,2145
D1 ZephIR (contiguous),10,Ridge,9.52,9.52,0.0,2073,2073,2143
D1 ZephIR (contiguous),10,RandomForest,-3.91,-3.91,-0.0,2073,2073,2143
D1 ZephIR (contiguous),10,XGBoost,-7.88,-7.88,0.0,2073,2073,2143
D1 ZephIR (contiguous),10,LSTM,0.73,-9.21,-9.94,2073,2073,2143
D1 ZephIR (contiguous),30,Ridge,8.72,8.72,0.0,2048,2048,2138
D1 ZephIR (contiguous),30,RandomForest,-17.73,-17.73,0.0,2048,2048,2138
D1 ZephIR (contiguous),30,XGBoost,-16.1,-16.1,0.0,2048,2048,2138
D1 ZephIR (contiguous),30,LSTM,-5.33,-2.99,2.34,2048,2048,2138
D2 WFIP3 Buoy (few long gaps),1,Ridge,-0.45,-0.31,0.15,5136,5136,5450
D2 WFIP3 Buoy (few long gaps),1,RandomForest,-2.93,-16.86,-13.93,5136,5136,5450
D2 WFIP3 Buoy (few long gaps),1,XGBoost,-1.82,-5.56,-3.74,5136,5136,5450
D2 WFIP3 Buoy (few long gaps),1,LSTM,-29.64,-103.28,-73.65,5136,5136,5450
D2 WFIP3 Buoy (few long gaps),3,Ridge,-0.41,-0.43,-0.02,5125,5125,5449
D2 WFIP3 Buoy (few long gaps),3,RandomForest,-1.91,-16.46,-14.55,5125,5125,5449
D2 WFIP3 Buoy (few long gaps),3,XGBoost,-2.99,-12.46,-9.47,5125,5125,5449
D2 WFIP3 Buoy (few long gaps),3,LSTM,-11.42,-8.07,3.35,5125,5125,5449
D2 WFIP3 Buoy (few long gaps),6,Ridge,0.26,0.49,0.23,5109,5109,5449
D2 WFIP3 Buoy (few long gaps),6,RandomForest,-0.33,-8.83,-8.49,5109,5109,5449
D2 WFIP3 Buoy (few long gaps),6,XGBoost,-2.54,-6.79,-4.25,5109,5109,5449
D2 WFIP3 Buoy (few long gaps),6,LSTM,-22.05,-4.75,17.3,5109,5109,5449
D3 Onshore (many short gaps),1,Ridge,1.98,2.57,0.59,3394,7574,9784
D3 Onshore (many short gaps),1,RandomForest,1.36,3.1,1.75,3394,7574,9784
D3 Onshore (many short gaps),1,XGBoost,1.17,4.49,3.32,3394,7574,9784
D3 Onshore (many short gaps),1,LSTM,-2.63,1.65,4.28,3394,7574,9784
D3 Onshore (many short gaps),3,Ridge,2.89,5.46,2.57,3287,7545,9783
D3 Onshore (many short gaps),3,RandomForest,1.65,5.78,4.12,3287,7545,9783
D3 Onshore (many short gaps),3,XGBoost,-0.53,5.9,6.42,3287,7545,9783
D3 Onshore (many short gaps),3,LSTM,-5.0,-16.64,-11.64,3287,7545,9783
D3 Onshore (many short gaps),6,Ridge,5.12,8.52,3.39,3133,7077,9783
D3 Onshore (many short gaps),6,RandomForest,2.62,8.71,6.09,3133,7077,9783
D3 Onshore (many short gaps),6,XGBoost,0.0,8.34,8.33,3133,7077,9783
D3 Onshore (many short gaps),6,LSTM,-2.12,6.05,8.17,3133,7077,9783
