dataset,horizon,origin,train_frac,skill_honest,skill_naive,bias,n_test_honest,n_test_naive,n_test_naive_unaligned,row_expansion,test_start,test_end
D1 ZephIR (contiguous),1,1,0.5,-201.77,-201.77,0.0,1654,1654,1715,1.0,2019-11-24 01:31:00,2019-11-25 05:04:00
D1 ZephIR (contiguous),1,2,0.56,5.99,5.99,0.0,1655,1655,1716,1.0,2019-11-24 10:05:00,2019-11-25 13:39:00
D1 ZephIR (contiguous),1,3,0.62,8.15,8.15,0.0,1654,1654,1715,1.0,2019-11-24 18:40:00,2019-11-25 22:13:00
D1 ZephIR (contiguous),1,4,0.68,6.31,6.31,0.0,1654,1654,1715,1.0,2019-11-25 03:15:00,2019-11-26 06:48:00
D1 ZephIR (contiguous),1,5,0.74,5.56,5.56,0.0,1655,1655,1716,1.0,2019-11-25 11:49:00,2019-11-26 15:23:00
D1 ZephIR (contiguous),1,6,0.8,0.22,0.22,0.0,1655,1655,1716,1.0,2019-11-25 20:24:00,2019-11-26 23:58:00
D1 ZephIR (contiguous),10,1,0.5,-212.96,-212.96,0.0,1644,1644,1714,1.0,2019-11-24 01:35:00,2019-11-25 04:58:00
D1 ZephIR (contiguous),10,2,0.56,-19.11,-19.11,0.0,1644,1644,1714,1.0,2019-11-24 10:09:00,2019-11-25 13:32:00
D1 ZephIR (contiguous),10,3,0.62,-1.48,-1.48,0.0,1644,1644,1714,1.0,2019-11-24 18:43:00,2019-11-25 22:06:00
D1 ZephIR (contiguous),10,4,0.68,-0.68,-0.68,0.0,1644,1644,1714,1.0,2019-11-25 03:17:00,2019-11-26 06:40:00
D1 ZephIR (contiguous),10,5,0.74,-9.44,-9.44,0.0,1643,1643,1713,1.0,2019-11-25 11:52:00,2019-11-26 15:14:00
D1 ZephIR (contiguous),10,6,0.8,-6.0,-6.0,0.0,1644,1644,1714,1.0,2019-11-25 20:26:00,2019-11-26 23:49:00
